Trade, Price, TimeStamp, PointValue, slippage, position
Buy , 53.6, 2005-02-14 09:35, 42000, 19.5, 1
Sell, 53.7962, 2005-02-14 09:40, 42000, 19.5, 0
Sell, 53.02, 2005-02-16 09:35, 42000, 19.5, -1
Buy , 52.9729, 2005-02-16 09:40, 42000, 19.5, 0
Sell, 52.92, 2005-02-16 12:30, 42000, 19.5, -1
Buy , 52.9529, 2005-02-16 12:55, 42000, 19.5, 0
Buy , 53.34, 2005-02-17 11:40, 42000, 19.5, 1
Sell, 53.3266, 2005-02-17 11:45, 42000, 19.5, 0
Buy , 53.38, 2005-02-17 12:00, 42000, 19.5, 1
Sell, 53.4465, 2005-02-17 12:15, 42000, 19.5, 0
Buy , 53.5, 2005-02-17 12:25, 42000, 19.5, 1
Sell, 53.5864, 2005-02-17 12:30, 42000, 19.5, 0
Buy , 53.64, 2005-02-18 10:15, 42000, 19.5, 1
Sell, 53.6663, 2005-02-18 10:20, 42000, 19.5, 0
Buy , 53.72, 2005-02-22 09:35, 42000, 19.5, 1
Sell, 54.0559, 2005-02-22 09:40, 42000, 19.5, 0
Buy , 54.11, 2005-02-22 10:45, 42000, 19.5, 1
Sell, 54.6653, 2005-02-22 11:20, 42000, 19.5, 0
Buy , 54.72, 2005-02-22 12:30, 42000, 19.5, 1
Sell, 55.0649, 2005-02-22 12:50, 42000, 19.5, 0
Buy , 55.14, 2005-02-22 12:55, 42000, 19.5, 1
Sell, 55.4345, 2005-02-22 13:05, 42000, 19.5, 0
Buy , 55.47, 2005-02-25 11:05, 42000, 19.5, 1
Sell, 55.4545, 2005-02-25 11:10, 42000, 19.5, 0
Buy , 55.61, 2005-02-25 12:10, 42000, 19.5, 1
Sell, 55.6043, 2005-02-25 12:15, 42000, 19.5, 0
Buy , 55.66, 2005-02-25 12:25, 42000, 19.5, 1
Sell, 55.934, 2005-02-25 12:35, 42000, 19.5, 0
Buy , 55.99, 2005-02-25 12:40, 42000, 19.5, 1
Sell, 55.984, 2005-02-25 12:45, 42000, 19.5, 0
Buy , 56.04, 2005-02-25 13:15, 42000, 19.5, 1
Sell, 56.7332, 2005-02-28 09:40, 42000, 19.5, 0
Buy , 56.79, 2005-02-28 10:15, 42000, 19.5, 1
Sell, 56.7432, 2005-02-28 10:20, 42000, 19.5, 0
Buy , 56.8, 2005-02-28 11:10, 42000, 19.5, 1
Sell, 56.8031, 2005-02-28 11:15, 42000, 19.5, 0
Buy , 56.86, 2005-03-02 09:35, 42000, 19.5, 1
Sell, 56.8331, 2005-03-02 09:40, 42000, 19.5, 0
Buy , 56.89, 2005-03-02 09:45, 42000, 19.5, 1
Sell, 56.8531, 2005-03-02 09:50, 42000, 19.5, 0
Sell, 56.09, 2005-03-03 09:40, 42000, 19.5, -1
Buy , 56.086, 2005-03-03 09:45, 42000, 19.5, 0
Buy , 56.79, 2005-03-04 12:55, 42000, 19.5, 1
Sell, 56.7332, 2005-03-04 13:05, 42000, 19.5, 0
Sell, 56.21, 2005-03-08 09:35, 42000, 19.5, -1
Buy , 56.1961, 2005-03-08 09:40, 42000, 19.5, 0
Sell, 56.14, 2005-03-08 09:45, 42000, 19.5, -1
Buy , 56.106, 2005-03-08 09:55, 42000, 19.5, 0
Buy , 56.8, 2005-03-08 12:45, 42000, 19.5, 1
Sell, 57.0629, 2005-03-08 12:55, 42000, 19.5, 0
Buy , 57.12, 2005-03-09 10:10, 42000, 19.5, 1
Sell, 57.0629, 2005-03-09 10:15, 42000, 19.5, 0
Buy , 57.12, 2005-03-09 11:05, 42000, 19.5, 1
Sell, 57.1328, 2005-03-09 11:10, 42000, 19.5, 0
Buy , 57.19, 2005-03-09 12:10, 42000, 19.5, 1
Sell, 57.1628, 2005-03-09 12:15, 42000, 19.5, 0
Buy , 57.22, 2005-03-09 12:30, 42000, 19.5, 1
Sell, 57.1628, 2005-03-09 12:35, 42000, 19.5, 0
Buy , 57.22, 2005-03-09 12:50, 42000, 19.5, 1
Sell, 57.1828, 2005-03-09 12:55, 42000, 19.5, 0
Buy , 57.24, 2005-03-09 13:00, 42000, 19.5, 1
Sell, 57.1927, 2005-03-09 13:10, 42000, 19.5, 0
Buy , 57.25, 2005-03-11 09:55, 42000, 19.5, 1
Sell, 57.2527, 2005-03-11 10:00, 42000, 19.5, 0
Buy , 57.31, 2005-03-11 10:20, 42000, 19.5, 1
Sell, 57.2727, 2005-03-11 10:25, 42000, 19.5, 0
Buy , 57.41, 2005-03-11 10:35, 42000, 19.5, 1
Sell, 57.5824, 2005-03-11 10:45, 42000, 19.5, 0
Buy , 57.64, 2005-03-11 11:40, 42000, 19.5, 1
Sell, 57.6823, 2005-03-11 11:50, 42000, 19.5, 0
